name,lat,lon,dong_info,gu_info
세븐일레븐장안,37.5763171050417,127.074545445244,장안2동,동대문구
GS25대치학원점,37.4996311027464,127.062232909298,대치2동,강남구
세븐일레븐상계현대점,37.6752473700456,127.085016295453,상계3.4동,노원구
씨유광진,37.551952565612,127.077044818926,능동,광진구
세븐일레븐여의홍우점,37.5208732032459,126.931301549666,여의동,영등포구
씨유등촌원룸점,37.5565447357923,126.860749492745,등촌1동,강서구
씨유화곡,37.5301150683466,126.850616493527,화곡8동,강서구
이마트24교대STS점,37.4932761209267,127.017233313068,서초1동,서초구
지에스25가산,37.4831761935603,126.877065255597,가산동,금천구
씨유뉴답십리간데메점,37.5741053447063,127.048201234865,전농1동,동대문구
세븐일레븐S방화역점,37.5770028423218,126.812632877837,방화3동,강서구
